"product_name","product_price","product_link"
"Victoria","$125.00 - $225.00","https://www.carrollwoodflorist.com/flowers/victoria/"
"Cordelia","$75.00 - $100.00","https://www.carrollwoodflorist.com/flowers/cordelia/"
"Prim","$55.00 - $80.00","https://www.carrollwoodflorist.com/flowers/prim1/"
"Kate","$125.00 - $175.00","https://www.carrollwoodflorist.com/flowers/kate/"
"Martha","$70.00 - $90.00","https://www.carrollwoodflorist.com/flowers/martha/"
"Louise","$75.00 - $95.00","https://www.carrollwoodflorist.com/flowers/louise/"
"Charlotte","$50.00 - $85.00","https://www.carrollwoodflorist.com/flowers/charlotte1/"
"Robin","$85.00 - $125.00","https://www.carrollwoodflorist.com/flowers/robin/"
"Julia","$100.00 - $150.00","https://www.carrollwoodflorist.com/flowers/julia/"
"Summer","$50.00 - $70.00","https://www.carrollwoodflorist.com/flowers/summer1/"
"Aviva","$75.00 - $90.00","https://www.carrollwoodflorist.com/flowers/aviva/"
"Anne","$65.00 - $85.00","https://www.carrollwoodflorist.com/flowers/anne/"
"Fleur","$100.00 - $150.00","https://www.carrollwoodflorist.com/flowers/fleur1/"
"Lacey","$75.00 - $125.00","https://www.carrollwoodflorist.com/flowers/lacey1/"
"Mae","$65.00 - $95.00","https://www.carrollwoodflorist.com/flowers/mae/"
"Bramble","$70.00 - $115.00","https://www.carrollwoodflorist.com/flowers/bramble1/"
"Blossom","$65.00 - $100.00","https://www.carrollwoodflorist.com/flowers/blossom/"
"Violet","$55.00 - $85.00","https://www.carrollwoodflorist.com/flowers/violet1/"
"Catalina","$110.00 - $150.00","https://www.carrollwoodflorist.com/flowers/catalina/"
"Olivia","$150.00 - $250.00","https://www.carrollwoodflorist.com/flowers/olivia/"
"Aly","$85.00 - $110.00","https://www.carrollwoodflorist.com/flowers/aly/"
"June","$70.00 - $95.00","https://www.carrollwoodflorist.com/flowers/june/"
"Cheyenne","$165.00 - $195.00","https://www.carrollwoodflorist.com/flowers/cheyenne/"
"Audrey","$85.00 - $125.00","https://www.carrollwoodflorist.com/flowers/audrey1/"
"Ariel","$75.00 - $115.00","https://www.carrollwoodflorist.com/flowers/ariel/"
"Sefina","$75.00 - $125.00","https://www.carrollwoodflorist.com/flowers/sefina/"
"Maria","$125.00 - $200.00","https://www.carrollwoodflorist.com/flowers/maria/"
"Alana","$125.00 - $275.00","https://www.carrollwoodflorist.com/flowers/alana/"
"Amber","$55.00 - $95.00","https://www.carrollwoodflorist.com/flowers/amber/"
"Cali","$50.00 - $85.00","https://www.carrollwoodflorist.com/flowers/cali/"
"Aurora","$80.00 - $110.00","https://www.carrollwoodflorist.com/flowers/aurora1/"
"Skye","$125.00 - $200.00","https://www.carrollwoodflorist.com/flowers/skye1/"
"Opal","$125.00 - $200.00","https://www.carrollwoodflorist.com/flowers/opal/"
"Tahiti","$95.00 - $150.00","https://www.carrollwoodflorist.com/flowers/tahiti/"
"Moana","$195.00 - $265","https://www.carrollwoodflorist.com/flowers/tropical-paradise/"
"Designer's Choice Arrangement","$85.00 - $365.00","https://www.carrollwoodflorist.com/flowers/designers-choice-arrangement1/"
"Garden Wrap Bouquet","$50.00 - $100.00","https://www.carrollwoodflorist.com/flowers/mixed-wrap-bouquet/"
